timestamp,cpu_percent,mem_used_gb,mem_percent,disk_used_gb,disk_percent,net_sent_bytes,net_recv_bytes
2025-03-21T19:08:53.842511,7.3,6.27,80.5,257.27,75.0,5474645,97352301
2025-03-21T19:08:57.891992,0.0,6.27,80.5,257.27,75.0,5474807,97352301
2025-03-21T19:09:01.899492,0.7,6.27,80.5,257.27,75.0,5474965,97352343
2025-03-21T19:09:05.925823,0.9,6.27,80.5,257.27,75.0,5475139,97352511
2025-03-21T19:09:09.960577,0.2,6.26,80.4,257.27,75.0,5475193,97352553
2025-03-21T19:09:13.987606,1.2,6.27,80.5,257.27,75.0,5475248,97352619
2025-03-21T19:09:18.015560,0.7,6.27,80.5,257.27,75.0,5475302,97352619
2025-03-21T19:09:22.031995,0.6,6.27,80.5,257.27,75.0,5475302,97352661
timestamp,cpu_percent,mem_used_gb,mem_percent,disk_used_gb,disk_percent,net_sent_bytes,net_recv_bytes
2025-03-21T19:15:45.519436,5.7,6.02,77.4,257.39,75.0,5614555,97611852
2025-03-21T19:15:49.555090,0.7,6.02,77.3,257.39,75.0,5614639,97611852
2025-03-21T19:15:53.590249,1.9,6.01,77.2,257.39,75.0,5614639,97611852
2025-03-21T19:15:57.628209,4.9,6.02,77.3,257.39,75.0,5616289,97619097
2025-03-21T19:16:01.654181,1.5,6.02,77.3,257.39,75.0,5622170,97639516
2025-03-21T19:16:05.671673,1.2,6.02,77.3,257.39,75.0,5623044,97639732
2025-03-21T19:16:09.702058,16.5,6.04,77.6,257.39,75.0,5625758,97640374
2025-03-21T19:16:13.728922,7.9,6.07,77.9,257.39,75.0,5627633,97640440
